City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Nhulunbuy,AU,2022-05-20 02:52:26,-12.2333,136.7667,88.41,55,20,13.8
280,Lasa,IT,2022-05-20 02:52:27,46.6166,10.7002,58.08,87,78,2.66
281,Praia,CV,2022-05-20 02:52:27,14.9215,-23.5087,72.14,73,0,12.66
282,Koutsouras,GR,2022-05-20 02:52:28,35.0339,25.9469,63.1,57,0,29.51
283,Guanica,PR,2022-05-20 02:52:28,17.9716,-66.908,82.11,83,24,7.27
284,Yulara,AU,2022-05-20 02:52:29,-25.2406,130.9889,69.03,40,0,9.66
285,Tazovskiy,RU,2022-05-20 02:52:29,67.4667,78.7,39.33,88,100,15.37
286,Los Zacatones,MX,2022-05-20 02:52:30,22.95,-102.05,75.11,27,94,12.3
287,Westport,US,2022-05-20 02:52:30,41.1415,-73.3579,57.27,93,40,0.0
288,Lahij,YE,2022-05-20 02:52:31,13.1667,44.5833,83.1,34,5,1.68
289,Lata,PT,2022-05-20 02:52:31,40.1629,-8.3327,58.91,71,100,3.22
290,Gemena,CD,2022-05-20 02:52:31,3.25,19.7667,70.18,100,97,2.95
291,Wajima,JP,2022-05-20 02:52:32,37.4,136.9,75.88,33,0,11.5
292,Yar-Sale,RU,2022-05-20 02:52:32,66.8333,70.8333,34.09,94,100,22.97
